playercard_no,playercard_box,playercard_name,playercard_unique,playercard_type,playercard_cost,playercard_sphere,playercard_special_rules,playercard_count,playercard_keyword1,playercard_keyword2,playercard_keyword3,playercard_keyword4,playercard_trait1,playercard_trait2,playercard_trait3,playercard_trait4,playercard_ally_quest,playercard_ally_attack,playercard_ally_defence,playercard_ally_hp,playercard_ally_secrecy
90,19,Palantir,1,Attachment,1,Neutral,"Attach to a Noble hero.
Planning Action: Exhaust Palantir and attached hero to name a card type and look at the top 3 cards of the encounter deck. For each of those cards that matches the named type draw a card. For each of those cards that does not match the named type raise your threat by 2.",3,,,,,artifact,item,,,,,,,
83,19,Men of the West,,Event,99,Leadership,Action: Return X Outlands allies from your discard pile to your hand.,3,,,,,outlands ,,,,,,,,
13,1,Guard of the Citadel,,Ally,2,Leadership,,3,,,,,gondor,warrior,,,1,1,0,2,
14,1,Faramir,1,Ally,4,Leadership,Action: Exhaust Faramir to choose a player. Each character controlled by that player gets +1 Willpower until end of the phase.,2,,,,,gondor,noble,ranger,,2,1,2,3,
15,1,Son of Arnor,,Ally,3,Leadership,Response: After Son of Arnor enters play choose an enemy card in the staging area or currently engaged with another player. Engage that enemy.,2,,,,,dunedain,,,,0,2,0,2,
16,1,Snowbourn Scout,,Ally,1,Leadership,Response: After Snowbourn Scout enters play choose a location. Place 1 progress token on that location.,3,,,,,rohan,scout,,,0,0,1,1,
17,1,Silverlode Archer,,Ally,3,Leadership,,2,ranged,,,,archer,silvan,,,1,2,0,1,
18,1,Longbeard Orc Slayer,,Ally,4,Leadership,Response: After Longbeard Orc Slayer enters play deal 1 damage to each Orc enemy in play.,2,,,,,dwarf,warrior,,,0,2,1,3,
19,1,Brok Ironfist,1,Ally,6,Leadership,Response: After a Dwarf hero you control leaves play put Brok Ironfist into play from your hand.,1,,,,,dwarf,warrior,,,2,2,1,4,
28,1,Veteran Axehand,,Ally,2,Tactics,,3,,,,,dwarf,warrior,,,0,2,1,2,
29,1,Gondorian Spearman,,Ally,2,Tactics,Response: After Gondorian Spearman is declared as a defender deal 1 damage to the attacking enemy.,3,sentinel,,,,gondor,warrior,,,0,1,1,1,
30,1,Horseback Archer,,Ally,3,Tactics,,2,ranged,,,,rohan,archer,,,0,2,1,2,
31,1,Beorn,1,Ally,6,Tactics,Action: Beorn gains +5 Attack until the end of the phase. At the end of that phase in which you trigger this effect shuffle Beorn back into your deck. [Limit once per round.],1,,,,,Beorning.,warrior,,,1,3,3,6,
43,1,Wandering Took,,Ally,2,Spirit,Action: Reduce your threat by 3 to give control of Wandering Took to another player. Raise that players threat by 3.,2,,,,,hobbit ,,,,1,1,1,2,
44,1,Lorien Guide,,Ally,3,Spirit,Response: After Lorien Guide commits to a quest place 1 progress token on the active location.,3,,,,,silvan,scout,,,1,1,0,2,
45,1,Northern Tracker,,Ally,4,Spirit,Response: After Northern Tracker commits to a quest place 1 progress token on each location in the staging area.,2,,,,,dunedain,ranger,,,1,2,2,3,
58,1,Daughter of the Nimrodel,,Ally,3,Lore,Action: Exhaust Daughter of the Nimrodel to heal up to 2 damage on any 1 hero.,3,,,,,silvan,,,,1,0,0,1,
59,1,Erebor Hammersmith,,Ally,2,Lore,Response: After you play Erebor Hammersmith return the topmost attachment in any players discard pile to his hand.,2,,,,,dwarf,craftsman,,,1,1,1,3,
60,1,Henemarth Riversong,1,Ally,1,Lore,Action: Exhaust Henemarth Riversong to look at the top card of the encounter deck.,1,,,,,silvan,,,,1,1,0,1,
61,1,Miner of the Iron Hills,,Ally,2,Lore,Response: After Miner of the Iron Hills enters play choose and discard 1 Condition attachment from play.,2,,,,,dwarf,,,,1,1,2,2,
62,1,Gleowine,1,Ally,2,Lore,Action: Exhaust GlÇowine to choose a player. That player draws 1 card.,2,,,,,minstrel,rohan,,,1,0,0,2,
73,1,Gandalf [Core],1,Ally,5,Neutral,"At the end of the round discard Gandalf from play.
Response: After Gandalf enters play [choose 1]: draw 3 cards deal 4 damage to 1 enemy in play or reduce your threat by 5.",4,,,,,istari,,,,4,4,4,4,
26,1,Steward of Gondor,1,Attachment,2,Leadership,Attach to a hero. Attached hero gains the Gondor trait. Action: Exhaust Steward of Gondor to add 2 resources to attached heros resource pool.,2,,,,,gondor,title,,,,,,,
27,1,Celebrians Stone,1,Attachment,2,Leadership,Attach to a hero. Restricted. Attached hero gains +2 Willpower. If attached hero is Aragorn he also gains a Spirit resource icon.,1,restricted,,,,artifact,item,,,,,,,
39,1,Blade of Gondolin,,Attachment,1,Tactics,Attach to a hero. Restricted. Attached hero gets +1 Attack when attacking an Orc. Response: After attached hero attacks and destroys an enemy place 1 progress token on the current quest.,2,restricted,,,,item,weapon,,,,,,,
40,1,Citadel Plate,,Attachment,4,Tactics,Attach to hero. Restricted. Attached hero gets +4 Hit Points.,2,restricted,,,,item,armour,,,,,,,
41,1,Dwarven Axe,,Attachment,2,Tactics,Attach to a hero. Restricted. Attached hero gains +1 Attack. [+2 Attack instead if attached hero is a Dwarf.],2,restricted,,,,item,weapon,,,,,,,
42,1,Horn of Gondor,1,Attachment,1,Tactics,Attach to a hero. Restricted. Response: After a character leaves play add 1 resource to attached heros pool.,1,restricted,,,,item,artifact,,,,,,,
55,1,The Favor of the Lady,,Attachment,2,Spirit,Attach to a hero. Attached hero gains +1 Willpower.,2,,,,,condition ,,,,,,,,
56,1,Power in the Earth,,Attachment,1,Spirit,Attach to a location. Attached location gets -1 Threat.,2,,,,,condition ,,,,,,,,
57,1,Unexpected Courage,,Attachment,2,Spirit,Attach to a hero. Action: Exhaust Unexpected Courage to ready attached hero.,1,,,,,condition ,,,,,,,,
69,1,Forest Snare,,Attachment,3,Lore,Attach to an enemy engaged with a player. Attached enemy cannot attack.,2,,,,,item,trap,,,,,,,
70,1,Protector of Lorien,,Attachment,1,Lore,Attach to a hero. Action: Discard a card from your hand to give attached hero +1 Defense or +1 Willpower until the end of the phase.,2,,,,,title ,,,,,,,,
71,1,Dark Knowledge,,Attachment,1,Lore,Attach to a hero. Attached hero gets -1 Willpower. Response: Exhaust Dark Knowledge to look at 1 shadow card that was just dealt to an enemy attacking you.,1,,,,,condition,,,,,,,,
72,1,Self Preservation,,Attachment,3,Lore,"Attach to a character.
Action: Exhaust Self Preservation to heal 2 points of damage from attached character.",2,,,,,skill ,,,,,,,,
20,1,Ever Vigilant,,Event,1,Leadership,Action: Choose and ready 1 ally card.,2,,,,,,,,,,,,,
21,1,Common Cause,,Event,0,Leadership,Action: Exhaust 1 hero you control to choose and ready a different hero.,2,,,,,,,,,,,,,
22,1,For Gondor!,,Event,2,Leadership,Action: Until the end of the phase all characters get +1 Attack. All Gondor characters also get +1 Defense until the end of the phase.,2,,,,,,,,,,,,,
23,1,Sneak Attack,,Event,1,Leadership,Action: Put 1 ally card into play from your hand. At the end of the phase if that ally is still in play return it to your hand.,2,,,,,,,,,,,,,
24,1,Valiant Sacrifice,,Event,1,Leadership,Response: After an ally card leaves play that cards controller draws 2 cards.,2,,,,,,,,,,,,,
25,1,Grim Resolve,,Event,5,Leadership,Action: Ready all character cards in play.,1,,,,,,,,,,,,,
32,1,Blade Mastery,,Event,1,Tactics,Action: Choose a character. Until the end of the phase that character gains +1 Attack and +1 Defense.,3,,,,,,,,,,,,,
33,1,Rain of Arrows,,Event,1,Tactics,Action: Exhaust a character you control with the ranged keyword to choose a player. Deal 1 damage to each enemy engaged with that player.,2,,,,,,,,,,,,,
34,1,Feint,,Event,1,Tactics,Combat Action: Choose an enemy engaged with a player. That enemy cannot attack this phase.,2,,,,,,,,,,,,,
35,1,Quick Strike,,Event,1,Tactics,Action: Exhaust a character you control to immediately declare it as an attacker [and resolve this attack] against any eligible enemy target.,2,,,,,,,,,,,,,
36,1,Thicket of Spears,,Event,3,Tactics,You must use resources from 3 different heroes pools to pay for this card. Action: Choose a player. That players engaged enemies do not attack this phase.,2,,,,,,,,,,,,,
37,1,Swift Strike,,Event,2,Tactics,Response: After a character is declared as a defender deal 2 damage to the attacking enemy.,1,,,,,,,,,,,,,
38,1,Stand Together,,Event,0,Tactics,Action: Choose a player. That player may declare any number of his eligible characters as defenders against each enemy attacking him this phase.,1,,,,,,,,,,,,,
46,1,The Galadhrims Greeting,,Event,3,Spirit,Action: Reduce one players threat by 6 or reduce each players threat by 2.,2,,,,,,,,,,,,,
47,1,Strength of Will,,Event,0,Spirit,Response: After you travel to a location exhaust a Spirit character to place 2 progress tokens on that location.,2,,,,,,,,,,,,,
48,1,Hasty Stroke,,Event,1,Spirit,Response: Cancel a shadow effect just triggered during combat.,2,,,,,,,,,,,,,
49,1,Will of the West,,Event,1,Spirit,Action: Choose a player. Shuffle that players discard pile back into his deck.,2,,,,,,,,,,,,,
50,1,A Test of Will,,Event,1,Spirit,Response: Cancel the when revealed effects of a card that was just revealed from the encounter deck.,2,,,,,,,,,,,,,
51,1,Stand and Fight,,Event,99,Spirit,Action: Choose an ally with a printed cost of X in any players discard pile. Put that ally into play under your control. [The chosen ally can belong to any sphere of influence.],3,,,,,,,,,,,,,
52,1,A Light in the Dark,,Event,2,Spirit,Action: Choose an enemy engaged with a player. Return that enemy to the staging area.,2,,,,,,,,,,,,,
53,1,Dwarven Tomb,,Event,1,Spirit,Action: Return 1 Spirit card from your discard pile to your hand.,1,,,,,,,,,,,,,
54,1,Fortune or Fate,,Event,5,Spirit,Action: Choose a hero in any players discard pile. Put that card into play under its owners control.,1,,,,,,,,,,,,,
63,1,Lore of Imladris,,Event,2,Lore,Action: Choose a character. Heal all damage from that character.,3,,,,,,,,,,,,,
64,1,Loriens Wealth,,Event,3,Lore,Action: Choose a player. That player draws 3 cards.,2,,,,,,,,,,,,,
65,1,Radagasts Cunning,,Event,1,Lore,Quest Action: Choose an enemy in the staging area. Until the end of the phase that enemy does not contribute its Threat.,2,,,,,,,,,,,,,
66,1,Secret Paths,,Event,1,Lore,Quest Action: Choose a location in the staging area. Until the end of the phase that location does not contribute its Threat.,2,,,,,,,,,,,,,
67,1,Gandalfs Search,,Event,99,Lore,Action: Look at the top X cards of any players deck add 1 of those cards to its owners hand and return the rest to the top of the deck in any order.,2,,,,,,,,,,,,,
68,1,Beorns Hospitality,,Event,5,Lore,Action: Choose a player. Heal all damage on each hero controlled by that player.,1,,,,,,,,,,,,,
57,18,Denethor,1,Ally,4,Leadership,"Denethor gets -1 [Willpower] for each damaged hero you control.
Discard Denethor if his [Willpower] is 0 or less.",3,,,,,gondor,noble,,,3,1,2,3,
61,18,Minas Tirith Lampwright,,Ally,1,Spirit,Response: After and encounter card with surge is revealed discard Minas Tirith Lampwright to name enemy location or treachery. If the next encounter card revealed is the named type discard it without resolving its effects.,3,,,,,gondor,craftsman,,,0,0,1,1,
63,18,Ithilien Archer,,Ally,3,Lore,Response: After Ithilien Archer attacks and damages an enemy return that enemy to the staging area.,3,ranged,,,,gondor,ranger,,,1,2,1,2,
58,18,Lord of Morthond,1,Attachment,1,Leadership,"Attach to a Gondor or Outlands hero.
If each hero you control has a printed [Leadership] resource icon Lord of Morthond gains Response: After you play a [Lore] [Spirit] or [Tactics] ally draw one card.",3,,,,,title,,,,,,,,
59,18,Book of Eldacar,1,Attachment,4,Tactics,"Attach to a [Tactics] hero.
Reduce the cost to play Book of Eldacar by 1 for each hero you control with a printed [Tactics] resource icon.
Action: Discard Book of Eldacar to play any [Tactics] event card in your discard pile as if it were in your hand. Then place that event on the bottom of your deck.",3,,,,,record ,,,,,,,,
64,18,Ithilien Pit,,Attachment,1,Lore,"Play Ithilien Pit into the staging area unattached.
If unattached attach Ithilien Pit to the next eligible enemy that enters the staging area.
Any character may choose attached enemy as the target of an attack.",3,,,,,trap,,,,,,,,
60,18,Gondorian Discipline,,Event,0,Tactics,Response: Cancel up to 2 points of damage just dealt to a Gondor character.,3,,,,,gondor,,,,,,,,
62,18,Small Target,,Event,1,Spirit,Response: After a Hobbit hero you control exhausts to defend an attack choose another enemy engaged with you and reveal the attacking enemys shadow card. If that shadow card has no shadow effect resolve this enemys attack against the chosen enemy. If that shadow card has a shadow effect resolve this attack as normal.,3,,,,,,,,,,,,,
65,18,Hobbit-sense,,Event,2,Neutral,"Play only if each of your heroes is a Hobbit.
Combat Action: Enemies engaged with you do not attack this phase. You cannot declare attacks this phase.",3,,,,,,,,,,,,,
102,13,Longbeard Elder,,Ally,3,Leadership,Response: After Longbeard Elder commits to a quest look at the top card of the encounter deck. If that card is a location place 1 progress token on the current quest. Otherwise Longbeard Elder gets -1 [Willpower] until the end of the phase. ,3,,,,,dwarf,,,,2,1,1,2,
104,13,Trollshaw Scout,,Ally,2,Tactics,Trollshaw Scout does not exhaust to attack. Forced: After Trollshaw Scout attacks either discard it from play or discard 1 card from your hand.,3,ranged,,,,noldor,scout,,,0,2,1,2,
106,13,Imladris Stargazer,,Ally,2,Spirit,Action: Exhaust Imladris Stargazer to choose a player. That player looks at the top 5 cards of his deck and then returns them to the top of his deck in any order. ,3,,,,,noldor,,,,0,0,1,1,
103,13,Path of Need,,Attachment,4,Leadership,Limit 1 per deck. Attach to a location. Heroes do not exhaust to attack defend or commit to a quest while attached location is the active location.,3,,,,,condition,,,,,,,,
107,13,Light of Valinor,,Attachment,0,Spirit,Attach to a Noldor or Silvan hero. Attached hero does not exhaust to commit to a quest. ,3,,,,,condition,,,,,,,,
109,13,Healing Herbs,,Attachment,0,Lore,Attach to a [Lore] hero. Action: Discard Healing Herbs and exhaust attached hero to heal all damage on 1 character.,3,,,,,,,,,,,,,
110,13,Asfaloth,,Attachment,2,Lore,Attach to a Noldor or Silvan hero. Action: Exhaust Asfaloth to place 1 progress token on any location. [2 tokens instead if attached hero is Glorfindel.,3,,,,,mount ,,,,,,,,
105,13,Heavy Stroke,,Event,1,Tactics,Response: After a Dwarf deals X damage to an enemy during combat deal and additional X damage to that enemy. [Limit once per phase.] ,3,,,,,,,,,,,,,
108,13,Daerons Runes,,Event,0,Lore,Action: Draw 2 cards. Then discard 1 card from your hand. ,3,,,,,,,,,,,,,
3,15,Errand-rider,,Ally,1,Leadership,Action: Exhaust Errand-rider to move 1 resource from the resource pool of a hero you control to another heros resource pool.,3,,,,,gondor,,,,0,0,0,2,
4,15,Citadel Custodian,,Ally,5,Leadership,Lower the cost to play Citadel Custodian by 1 for each Gondor ally in play.,3,,,,,gondor,,,,1,0,1,3,
7,15,Defender of Rammas,,Ally,2,Tactics,,3,,,,,gondor,warrior,,,0,1,4,1,
10,15,Damrod,,Ally,4,Spirit,Action: Discard Damrod from play to lower your threat by 1 for each enemy in the staging area.,3,,,,,gondor,ranger,,,1,2,2,2,
14,15,Hunter of Lamedon,,Ally,2,Lore,Response: After you play Hunter of Lamedon from your hand reveal the top card of your deck. If it is an Outlands card add it to your hand. Otherwise discard it.,3,,,,,gondor,outlands,,,1,1,1,1,
15,15,Ithilien Tracker,,Ally,2,Lore,Action: Exhaust Ithilien Tracker to lower the Threat of the next enemy added to the staging area to 0 until the end of the phase.,3,,,,,gondor,ranger,,,0,1,0,3,
16,15,Master of Lore,,Ally,3,Lore,"Action: Exhaust Master of Lore to name a card type. Lower the cost for you to play [Lore] cards of that type by 1 until the end of the phase [to a minimum of 1].

Errata: Action: Exhaust Master of Lore to name a card type. Lower the cost for you to play the next [Lore] card of that type by 1 until the end of the phase [to a 
minimum of 1].",3,,,,,gondor,,,,1,0,1,1,
18,15,Envoy of Pelargir,,Ally,2,Neutral,Response: After Envy of Pelargir enters play add 1 resource to a Gondor or Noble heros resource pool.,3,,,,,gondor,,,,1,1,0,1,
9,15,Spear of the Citadel,,Attachment,2,Tactics,"Attach to a Tactics character. Restricted.
Limit 1 per character.
Response: After attached character is declared as a defender deal 1 damage to the attacking enemy.",3,restricted,,,,,,,,,,,,
13,15,Blood of N£menor,,Attachment,0,Spirit,"Attach to a Gondor of Dunedain hero.
Action: Spend 1 resource from attached heros resource pool to give attached hero +1 [Defense] for each resource in its resource pool until the end of the phase. [Limit once per phase]",3,,,,,,,,,,,,,
17,15,Ranger Spikes,,Attachment,2,Lore,"Play Ranger Spikes into the staging area unattached.
If unattached attach Ranger Spikes to the next elegible enemy that enters the staging area.
Players do not make engagement checks against attached enemy. Attached enemy gets -2 [Threat].",3,,,,,trap ,,,,,,,,
5,15,Mutual Accord,,Event,0,Leadership,Action: Until the end of the phase each Gondor card in play gains the Rohan trait and each Rohan card in play gains the Gondor trait.,3,,,,,,,,,,,,,
6,15,Wealth of Gondor,,Event,0,Leadership,Action: Choose a Gondor hero. Add 1 resource to that heros resource pool.,3,,,,,,,,,,,,,
8,15,Behind Strong Walls,,Event,1,Tactics,Action: Ready a defending Gondor character. That character gets +1 [Defense] until the end of the phase.,3,,,,,,,,,,,,,
11,15,Light the Beacons,,Event,5,Spirit,Action: All characters get +2 [Defense] and do not exhaust to defend until the end of the round.,3,,,,,,,,,,,,,
12,15,A Watchful Place,,Event,1,Spirit,Response: After a location leaves play as an explored location return it to the top of the encounter deck.,3,,,,,,,,,,,,,
6,8,Veteran of Nanduhirion,,Ally,4,Tactics,Veteran of Nanduhirion enters play with 1 damage on it.,3,,,,,dwarf,warrior,,,0,3,2,3,
9,8,Zigil Miner,,Ally,2,Spirit,Action: Exhaust Zigil Miner and name a number to discard the top 2 cards of your deck.  If at least one of those cards has a cost equal to the named number choose a hero you control.  That hero adds resources to his resource pool equal to the named number.,3,,,,,dwarf,,,,1,1,1,1,
11,8,Erebor Record Keeper,,Ally,1,Lore,"Erebor Record Keeper cannot attack or defend.
Action: Exhaust Erebor Record Keeper and pay 1 Lore resource to choose and ready a Dwarf character.",3,,,,,dwarf,,,,1,0,0,1,
3,8,Narvis Belt,1,Attachment,2,Leadership,Attach to a Dwarf hero. Action: Exhaust Narvis Belt to give attached hero a resource icon of your choice until the end of the phase.,3,,,,,item,,,,,,,,
7,8,Dwarrowdelf Axe,,Attachment,1,Tactics,"Attach to a Dwarf character.  Restricted. Attached character gets +1 Attack. 
Response: After attached character attacks deal 1 damage to the defending enemy.",3,restricted,,,,item,weapon,,,,,,,
13,8,Boots from Erebor,,Attachment,0,Neutral,Attach to a Dwarf or Hobbit character. Limit 1 Boots from Erebor per character. Attached character gets +1 hit point.,3,,,,,item,,,,,,,,
4,8,Durins Song,,Event,1,Leadership,Action: Choose a Dwarf hero.  That hero gets +2 Willpower +2 Attack and +2 Defense until the end of the round.,3,,,,,,,,,,,,,
5,8,Ever Onward,,Event,3,Leadership,Response: After players quest unsuccessfully choose a player.  That player does not raise his threat.,3,,,,,,,,,,,,,
8,8,Khazad! Khazad!,,Event,0,Tactics,Action: Choose a Dwarf character.  Until the end of the phase that character gets +3 Attack.,3,,,,,,,,,,,,,
10,8,Untroubled by Darkness,,Event,2,Spirit,Action: Each Dwarf character gets +1 Willpower until the end of the phase. [+2 Willpower instead if the active location is an Underground or Dark location.],3,,,,,,,,,,,,,
12,8,Ancestral Knowledge,,Event,1,Lore,Action: Exhaust a Dwarf character to place 2 progress tokens on the active location.  [4 progress tokens instead if it is an Underground or Mountain location.],3,,,,,,,,,,,,,
6,23,Gloin,1,Ally,3,Leadership,While you control at least 5 Dwarf characters Gloin gains: Response: After you play Gloin from your hand choose a hero. Add 2 resources to that heros resource pool.,3,,,,,dwarf,,,,2,1,1,3,
7,23,Bifur,1,Ally,3,Lore,While you control at least 5 Dwarf characters Bifur gains: Response: After you play Bifur from your hand draw 2 cards.,3,,,,,dwarf,,,,1,2,1,3,
8,23,Dwalin,1,Ally,3,Spirit,While you control at least 5 Dwarf characters lower the cost to play Dwalin by 2.,3,,,,,dwarf,,,,1,1,2,3,
14,23,Great Yew Bow,,Attachment,2,Neutral,"Attach to a hero with the printed Ranged keyword.
Restricted.
Combat Action: Choose an enemy in the staging area. Exhaust Great Yew Bow and attached hero to make a ranged attack against that enemy. Declare attached hero as the attacker. No other attackers can be declared for this attack.",3,restricted,,,,item,weapon,,,,,,,
15,23,Black Arrow,1,Attachment,0,Tactics,"Limit 1 per deck.
Attach to a hero with Ranged.
Response: After attached hero declares an attack add Black Arrow to the victory display to give attached hero +5 [Attack] for this attack.",3,,,,,item,artifact,,,,,,,
16,23,Thrors Key,1,Attachment,1,Spirit,Response: After a location is added to the staging area attach Thrors Key to that location. While attached to a location Thrors Key gains: Treat attached locations printed text box as blank except for traits.,3,,,,,item,artifact,,,,,,,
17,23,Expert Treasure-hunter,,Attachment,0,Lore,"Attach to a hero.
Response: After attached hero quests successfully name a card type and discard the top card of your deck. If the discarded card is the named type take it into your hand.",3,,,,,skill,,,,,,,,
18,23,King Under the Mountain,1,Attachment,2,Leadership,"Attach to a Dwarf hero.
Action: Exhaust King Under the Mountain to look at the top 2 cards of your deck. Add 1 to your hand and discard the other.",3,,,,,title,,,,,,,,
9,23,Straight Shot,,Event,0,Tactics,Action: Exhaust a Weapon attachment to choos a non-unique enemy with 0 [Defense]. Discard the chosen enemy.,3,,,,,,,,,,,,,
10,23,Desperate Alliance,,Event,0,Spirit,Action: Choose a hero you control. Until the end of the phase give control of that hero and all resouces in that heros resource pool to another player. [Limit 1 per phase],3,,,,,,,,,,,,,
